codice_gruppo,codice_isolato,codice_localita,codice_municipalita,codice_quartiere,nome_gruppo,nome_localita,nome_municipalita,nome_quartiere
3,270422967,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422968,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422969,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422970,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422971,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422972,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422973,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422974,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422975,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422976,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422977,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422978,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422979,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422980,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422981,270425106,5,11,Terraferma,Capitello,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422982,270425106,5,11,Terraferma,Capitello,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422983,270425106,5,11,Terraferma,Capitello,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422984,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422985,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422986,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422987,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422988,270425107,5,11,Terraferma,Maguolo,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422989,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422990,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422991,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422992,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422993,270425107,5,11,Terraferma,Maguolo,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422994,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422995,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422996,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422997,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422998,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270422999,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423000,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423001,270425107,5,11,Terraferma,Maguolo,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423002,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423003,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423004,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423005,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423006,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423007,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423008,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423009,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423010,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423011,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423012,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423013,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423014,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423015,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423016,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423017,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423018,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423019,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423020,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423021,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423022,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423023,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423024,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423025,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423026,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423027,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423028,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423029,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423030,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423031,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423032,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423033,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423034,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423035,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423036,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
